names,pvals,pvals_adj,logfoldchanges,pts,pts_rest,celltype
Hip1,1.1652552025009453e-48,3.7744764706542144e-47,2.0298686,0.5256637168141592,0.24489243674739547,5
Atxn7l1,1.0954491877271445e-47,3.4624154343576476e-46,2.1426222,0.5079646017699115,0.21783249898525234,5
Ldlrad4,1.3958794494054469e-46,4.293151794812813e-45,2.09301,0.5061946902654867,0.23000947097821675,5
Smg1,1.8354315602893577e-46,5.635546079819542e-45,2.0209916,0.5168141592920354,0.23163306724394533,5
Erbin,4.697157352535301e-44,1.3599424353956799e-42,1.998264,0.5008849557522124,0.2252739818698417,5
Osbpl8,5.453592761192027e-41,1.487040091853987e-39,1.8953727,0.5008849557522124,0.2432688404816669,5
Cd74,3.5091832707714516e-104,6.410926917372365e-100,5.159084,1.0,0.20200205338809035,6
Cd79a,1.3170794765218236e-102,1.2030862478288599e-98,9.940426,0.9817073170731707,0.005646817248459959,6
H2-Aa,5.782104996801561e-101,3.521109206218924e-97,7.8360953,0.9817073170731707,0.02425564681724846,6
Cd79b,2.314567801164421e-100,9.483597300916873e-97,6.9792333,0.975609756097561,0.03811601642710472,6
H2-Ab1,2.5955436260651577e-100,9.483597300916873e-97,6.970941,0.9817073170731707,0.03939938398357289,6
Ebf1,6.706959363942047e-99,2.0421573436642873e-95,10.370049,0.9634146341463414,0.0028234086242299797,6
H2-Eb1,2.1542829221881565e-94,5.622370672207918e-91,5.4660764,0.9573170731707317,0.11550308008213553,6
Bank1,1.8849807984278668e-90,4.304589275809838e-87,9.788872,0.9207317073170732,0.003978439425051335,6
Ly6d,4.397499891377706e-87,8.244475545750012e-84,10.449255,0.9024390243902439,0.002566735112936345,6
Iglc2,4.512822565958734e-87,8.244475545750012e-84,10.818906,0.9024390243902439,0.001540041067761807,6
Ms4a1,9.16100806261704e-85,1.5214768754177338e-81,10.237476,0.8902439024390244,0.002438398357289528,6
Napsa,8.558307005368433e-80,1.3029309223422991e-76,7.2876015,0.8719512195121951,0.01771047227926078,6
Iglc3,3.986912726685038e-77,5.602839123369919e-74,11.558899,0.8475609756097561,0.0006416837782340862,6
Mef2c,2.746307636608604e-75,3.583735300943042e-72,8.529862,0.8414634146341463,0.006031827515400411,6
H2-DMb2,1.2650225778134689e-74,1.5407131649382842e-71,9.218834,0.8353658536585366,0.004106776180698152,6
Unc93b1,4.417022304806129e-73,4.746740028617834e-70,4.5167637,0.8963414634146342,0.10472279260780287,6
Cd19,1.1664284900674555e-68,1.1215516886864393e-65,11.045672,0.7987804878048781,0.0007700205338809035,6
Blnk,2.1976536515483187e-67,2.0074467280068118e-64,9.293075,0.7926829268292683,0.0028234086242299797,6
H2-Ob,7.430670125009064e-67,6.464329167323361e-64,7.0253263,0.7987804878048781,0.015143737166324436,6
Ly86,1.4680719104097405e-63,1.219100260512525e-60,7.7751446,0.774390243902439,0.007315195071868583,6
Mzb1,7.071027395192863e-60,5.616547803599062e-57,11.538684,0.7439024390243902,0.0006416837782340862,6
Syk,1.9833193875040118e-58,1.3419726626041034e-55,8.488305,0.7378048780487805,0.005005133470225872,6
Igkc,9.211840862160425e-58,5.803142093476165e-55,9.61478,0.7317073170731707,0.0023100616016427105,6
Ctss,1.0391629093588935e-56,6.12402167454117e-54,4.2209287,0.8109756097560976,0.08996406570841889,6
Pkig,1.7017980496471262e-52,9.421257142122228e-50,5.305456,0.725609756097561,0.0409394250513347,6
Ralgps2,7.323650400152336e-51,3.716549143343973e-48,3.8313608,0.7926829268292683,0.11332135523613963,6
Sell,1.027553617601294e-49,4.94009922104159e-47,5.4905963,0.7073170731707317,0.029645790554414783,6
H2-DMa,7.4016311845989e-48,3.3805100027859324e-45,3.9169457,0.7560975609756098,0.09471252566735112,6
Cyp4f18,3.986550109970493e-47,1.6184507546455765e-44,9.2515545,0.6585365853658537,0.002566735112936345,6
Aff3,8.607409605182353e-46,3.2760159599390916e-43,4.2095585,0.725609756097561,0.06904517453798768,6
March1,1.2481232549170715e-45,4.653461988587751e-43,7.559781,0.6524390243902439,0.0065451745379876795,6
Blk,8.22240220958819e-45,3.004301319339333e-42,11.442774,0.6402439024390244,0.000513347022587269,6
Sh3bp5,9.626633822205459e-44,3.4484112411347355e-41,4.3132176,0.6951219512195121,0.06365503080082136,6
Cd55,3.4600167169830948e-43,1.2155970269723876e-40,3.6651497,0.7317073170731707,0.11306468172484599,6
Prkcb,4.949110765945581e-43,1.69354984908569e-40,3.6351264,0.7378048780487805,0.11190965092402463,6
Aldh2,5.00584004875074e-43,1.69354984908569e-40,6.321621,0.6402439024390244,0.015657084188911704,6
Dok3,7.788733328144986e-43,2.587133984943286e-40,8.536924,0.6280487804878049,0.0028234086242299797,6
Plac8,4.12320641898755e-42,1.3451224655086348e-39,8.7774315,0.6219512195121951,0.003080082135523614,6
Siglecg,1.5000923650951292e-41,4.6449470199869346e-39,10.38686,0.6158536585365854,0.0011550308008213552,6
Ero1lb,6.726692366815859e-41,1.982095852409015e-38,4.5954714,0.6585365853658537,0.04889630390143737,6
Cd24a,1.6330495351872376e-40,4.735584437831055e-38,8.68531,0.6097560975609756,0.0026950718685831623,6
Fcmr,2.790553952312032e-39,7.843173869967464e-37,12.272149,0.5975609756097561,0.0002566735112936345,6
Ighd,3.7570767549118904e-39,1.0093828711100783e-36,9.717838,0.5975609756097561,0.0012833675564681724,6
Gm15987,4.675832161444709e-39,1.2380112718468607e-36,8.837054,0.5975609756097561,0.0029517453798767967,6
Ccr7,1.6391625950849054e-38,4.217726964733259e-36,5.251017,0.6219512195121951,0.02938911704312115,6
Pax5,5.539739960172854e-37,1.3316514385841825e-34,11.181013,0.5792682926829268,0.00038501026694045176,6
Gm30211,1.570517164633651e-35,3.726204945544437e-33,7.205638,0.573170731707317,0.008470225872689939,6
Baz2b,1.1137017767885128e-34,2.5432772200186675e-32,3.3804631,0.6707317073170732,0.11344969199178645,6
Pou2af1,4.766558903569485e-34,1.0619544464550113e-31,10.504997,0.5548780487804879,0.0006416837782340862,6
Erp29,9.966157817419097e-34,2.193635387547343e-31,2.578055,0.7682926829268293,0.22176591375770022,6
Hmgn1,2.8783376083571785e-33,6.260041638937773e-31,3.9270015,0.6158536585365854,0.06339835728952772,6
Fcrla,4.479146032218202e-33,9.627002219128744e-31,8.20548,0.5487804878048781,0.003208418891170431,6
Ctsh,5.4800332387374295e-33,1.1641247353313267e-30,2.744827,0.7317073170731707,0.1844199178644764,6
Gpr183,5.906165944071656e-33,1.226133473093694e-30,3.2158806,0.6707317073170732,0.12435831622176591,6
Sp140,4.219035994481104e-32,8.377996585127748e-30,3.6743677,0.6158536585365854,0.08162217659137577,6
Cd83,9.885014974565305e-32,1.921163176280144e-29,4.2700686,0.5853658536585366,0.052618069815195075,6
Ifi30,2.683731722150288e-31,5.054545858965321e-29,3.3170273,0.6280487804878049,0.11742813141683778,6
H2-Oa,1.1534667077378308e-30,2.0659493415355326e-28,4.600855,0.5609756097560976,0.037987679671457907,6
Ptpn6,3.52970234527105e-30,6.083408692995925e-28,2.9858327,0.6524390243902439,0.14040041067761808,6
Bach2,4.484720864513452e-29,7.448305952163295e-27,3.2370784,0.6219512195121951,0.10536447638603696,6
Abhd17b,2.0014816643189955e-28,3.235846772163162e-26,2.5039234,0.7134146341463414,0.2075205338809035,6
Wdfy4,2.114925144402853e-28,3.3892603037803265e-26,8.229684,0.5060975609756098,0.0026950718685831623,6
Cybb,5.9690877716366985e-28,9.16380373949839e-26,5.4356,0.5182926829268293,0.018095482546201233,6
Smim14,1.1894433615555705e-27,1.7811426862507146e-25,2.35864,0.725609756097561,0.23023613963039014,6
Gpr18,6.434468950492289e-27,9.329469306074891e-25,5.1585197,0.5121951219512195,0.020662217659137578,6
Irf8,8.141058277207883e-26,1.1440691820485448e-23,3.526818,0.5548780487804879,0.07559034907597537,6
Btla,3.511124960226389e-24,4.581767278455422e-22,3.8460026,0.5182926829268293,0.050308008213552365,6
Ctsz,4.8540537032815146e-24,6.289270007464538e-22,2.1801748,0.7195121951219512,0.2440965092402464,6
Pde4b,1.3699948729747096e-23,1.7380858565538174e-21,2.6802375,0.6097560975609756,0.14117043121149897,6
St6gal1,3.7546472530367544e-22,4.34137029529927e-20,3.2618806,0.524390243902439,0.08175051334702259,6
Pou2f2,5.623468709953088e-22,6.381065208828134e-20,2.149526,0.6829268292682927,0.23164784394250512,6
Cd38,1.9580534024893914e-21,2.129266524409446e-19,2.8772235,0.5426829268292683,0.10959958932238192,6
Fchsd2,9.666417880876469e-21,1.032723907986738e-18,2.8282866,0.5426829268292683,0.11742813141683778,6
Hvcn1,1.426716457576725e-20,1.49797028525685e-18,2.7279747,0.5487804878048781,0.12448665297741274,6
Gm8369,1.735976067263739e-20,1.791782303550353e-18,2.4953685,0.5853658536585366,0.14219712525667352,6
